PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME
CC(C)C1=CC=C(C=C1)CN2CCC(CC2)C(=O)NCC3=CN=CC=C3.C(=O)(C(=O)O)O,Active
CCCCCCN1C(=O)C(C(=N1)C)C(=O)C2=CC=C(C=C2)Cl,Active
CC1=NN=C(S1)N2C(C(=C(C2=O)O)C(=O)C3=CC=CO3)C4=CC=C(C=C4)C(C)(C)C,Active
COC1=C(C=C(C(=C1)C(=O)O)NS(=O)(=O)C2=CC=CC3=NSN=C32)OC,Active
CC1=NC2=C(C(=CS2)C3=CC=CC=C3)C(=O)N1N=C4C=CC(=O)C=C4.CC(=O)O,Active
C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)NCC3=CN=CC=C3)Cl,Active
CC1=NC(=C2C(=N1)N(N=N2)CC3=CC=CC=C3)NCCC4=CC=C(C=C4)O,Active
C1CN(CC2=CC=CC=C21)CC3=CC=C(C=C3)C(=O)N,Active
CCN1CCCC1CN(CC2=CC3=C(C=C(C=C3)C)NC2=O)C(=S)NC4=CC=C(C=C4)F,Active
CN1C=CC=C1C2=NNC(=C2)C(=O)N/N=C/C3=CC=C(C=C3)F,Active
CC1=CC(=CC=C1)C(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC2=C(C=C(C=C2)OC)[N+](=O)[O-],Active
COC1=CC=C(C=C1)C(C[N+](=O)[O-])C2(C(=O)C3=CC=CC=C3C2=O)C4=CC(=C(C=C4)OC)OC,Active
COC1=C(C=CC(=C1)S(=O)(=O)N2CCC(CC2)(C3=CC(=CC=C3)C(F)(F)F)O)N4C=NN=N4,Active
CCOC(=O)C1=C(NC2=C(C1C3=CC=CS3)C(=O)CC(C2)C4=CC=CS4)C,Active
C1CC(OC1)CNC(=O)/C(=C/C2=CC=C(O2)N3CCOCC3)/C#N,Active
C1=CC=C(C=C1)CN2C(=O)/C(=C\C3=CC=C(C=C3)O)/SC2=S,Active
CC1=[N+](C2=CC=CC=C2N1N)CC(=O)C3=CC=CC=C3.[Br-],Active
CC1=CC2=NC(=C(C=C2C=C1)C#N)N3CCN(CC3)C,Active
CC1=CC=C(C=C1)C2CC3CCC(C2)N3CC4=CC=CC=C4F,Active
COC1=CC=C(C=C1)OCC(=O)NNC(=O)C2=CC=CC=N2,Active
C1CN(CCN1CCO)C2=NC3=CC=CC=C3C(=N2)NCC4=CC=CO4.Cl,Active
COC1=C(C=C(C=C1)C(C2=NN=NN2CC3=CC=CS3)N4CCN(CC4)C5=CC=CC=C5F)OC.Cl,Active
CN(C)CCN1C2=C(C=C(C=C2)OC)SC3=CC=CC=C31.C(=O)(C(=O)O)O,Active
CC1=CC(=CC=C1)C(=O)NC2=CC=C(C=C2)C(=O)/C=C/C3=CN=CC=C3,Active
CC1=CC(=CC=C1)OCC(=O)NCC(=O)N/N=C/C2=C(C(=CC(=C2)Br)Br)O,Active
C1CN(CCC1C(=O)NC2=CC(=C(C=C2)Cl)Cl)C(=O)C3=CC=CO3,Active
C1=CC=C2C(=C1)C(=C(C(=O)O2)[N+](=O)[O-])NC3=CC(=CC=C3)O,Active
CC1=C/C(=N\OS(=O)(=O)C2=CC=CC=C2)/C=CC1=O,Active
C1C(OC2=CC=CC=C2O1)CNCC3COC4=CC=CC=C4O3,Active
CCN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=CS3)C,Active
C1CN(CCC1(C2=CC=CC=C2)O)CC3=CC=CC=C3.Cl,Active
CCCCC(C1=NN=NN1CCOC)N2CCN(CC2)CC3=CC=CC=C3.Cl,Active
C1CCN(CC1)CC(=O)NNC(=O)C2=CC(=CC=C2)Br,Active
C1C(OC2=CC=CC=C2O1)CNCC(COC3=CC=C(C=C3)Cl)O.Cl,Active
CCOC1=CC=CC=C1C(=O)NC2CC3CCCC(C2)N3CC4=CC=C(C=C4)C,Active
CCN1C(=NN=N1)SCC(=O)NNC(=O)C2CCCCC2,Active
CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N/N=C(\C#N)/C(=O)C3=CC=C(C=C3)Cl,Active
C1=CSC(=C1)CC(=O)NNC(=S)NC(=O)/C=C/C2=CC=CS2,Active
COC1=CC=C(C=C1)NC(=O)CN2CCC3=CC=CC=C3C2.C(=O)(C(=O)O)O,Active
CC(C)(C)NC1=NC(=NC(=N1)NN)NC(C)(C)C,Active
COC1=C(C=C(C=C1Br)Br)/C=N/NC(=O)C2=CC=NC=C2,Active
COC1=CC=C(C=C1)CC(=O)N/N=C/C2=C(C(=CC(=C2)[N+](=O)[O-])Br)O,Active
COC1=C(C=C(C=C1)[N+](=O)[O-])NC(=S)NC(C(Cl)(Cl)Cl)NC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3,Active
CCOC(=O)CN(C1=CC=CC=C1)C(=O)CSC2=NN=C(O2)CNC3=CC=C(C=C3)F,Active
CCN(CC)S(=O)(=O)C1=CC2=C(C=C1)C3=C(C2=NO)C=C(C=C3)S(=O)(=O)N(CC)CC,Active
CC1=CC=C(C=C1)C(=O)NC2CC3CCCC(C2)N3CC4=CC=CC=C4,Active
CC(CN1CCCC1)OC(=O)C2=C(C=C(C=C2)Cl)Cl.Cl,Active
C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CC(=O)NCC3=CC=CC=C3F,Active
CC1=CC=C(C=C1)C(C2=CC(=C3C=CC=NC3=C2O)Cl)NC(=O)C,Active
C1CCN(CC1)CC#CC(C2=CC=CC=C2)(C3=CC=CC=C3)O,Active
C1CN(CCN1)C2=NC(=NC(=N2)NC3=CC=CC=C3)N4CCOCC4,Active
CC1=CC=CC=C1NC(=O)CCN2CCC3=CC=CC=C3C2,Active
C1CCC(CC1)N(CC(=O)NC2=CC(=C(C=C2)Cl)[N+](=O)[O-])C(=O)C3=CC(=CC=C3)[N+](=O)[O-],Active
C1CN(CCN1CC2=CC=C(C=C2)Cl)CC3=CC(=CC=C3)[N+](=O)[O-].C(=O)(C(=O)O)O,Active
CN(C)C1=CC=C(C=C1)NC(=O)CN2CCC(CC2)(C3=CC=CC=C3)O,Active
CC1=C(C(=CC=C1)N\2C(=O)CS/C2=N\NC(=O)C3=CC=C(C=C3)Br)C,Active
C1CC2CC(CC1N2CC3=CC=CC=C3)NC(=O)C4=CC=CC=C4Br,Active
CC1=CC=C(C=C1)CN2CCN(CC2)/N=C/C3=CC(=C(C(=C3)OC)O)OC,Active
C1CCC(CC1)NC(=S)NC2CC3CCC(C2)N3CC4=CC=CC=C4,Active
CCN(CC)CC#CCC(C1=CC=CC=C1)(C2=CC=CC=C2)O,Active
