Compiling models...
Starting GA...
[1;32mWrote molecules to file[0m
         11222460 function calls (10852263 primitive calls) in 73.218 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
27910/27909    0.024    0.000    0.123    0.000 {built-in method builtins.all}
    12916    0.024    0.000    0.157    0.000 op_def_library.py:51(_SatisfiesTypeConstraint)
     5254    0.023    0.000    0.182    0.000 func_graph.py:521(as_default)
     8856    0.023    0.000    0.023    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationGetStackTrace}
    33025    0.023    0.000    0.036    0.000 enum.py:359(__call__)
     7624    0.023    0.000    0.157    0.000 nest.py:652(_pack_sequence_as)
    13376    0.023    0.000    0.045    0.000 options.py:38(__eq__)
      494    0.023    0.000    0.023    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_DeleteGraph}
      176    0.023    0.000   64.755    0.368 training.py:2172(predict)
    71024    0.023    0.000    0.023    0.000 c_api_util.py:54(get)
     8854    0.023    0.000    0.052    0.000 ops.py:4174(_get_tensor_by_tf_output)
8878/4256    0.023    0.000    0.292    0.000 base_layer.py:3104(__setattr__)
    10409    0.022    0.000    0.027    0.000 tf_decorator.py:229(__init__)
    34674    0.022    0.000    0.030    0.000 ops.py:5351(_device_function_stack)
    21629    0.022    0.000    0.023    0.000 {built-in method __new__ of type object at 0x55796722a9a0}
 1082/208    0.022    0.000    0.054    0.000 sre_parse.py:494(_parse)
     1128    0.022    0.000    0.080    0.000 function_spec.py:229(_make_function_type)
    52150    0.022    0.000    0.022    0.000 object_identity.py:218(__iter__)
    25029    0.022    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
    42928    0.022    0.000    0.062    0.000 dtypes.py:76(base_dtype)
     5288    0.021    0.000    0.043    0.000 structure.py:275(get_flat_tensor_specs)
        2    0.021    0.011    0.021    0.011 {built-in method tensorflow.python.client._pywrap_tf_session.TF_LoadLibrary}
    25029    0.021    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    25794    0.021    0.000    0.066    0.000 registry.py:81(lookup)
    20766    0.021    0.000    0.021    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationName}
     1436    0.020    0.000    0.021    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    19584    0.020    0.000    0.033    0.000 ops.py:5428(_control_dependencies_stack)
      410    0.019    0.000    0.020    0.000 {built-in method builtins.eval}
  3503/32    0.019    0.000    3.009    0.094 <frozen importlib._bootstrap>:1022(_find_and_load)
     9584    0.019    0.000    0.036    0.000 errors_impl.py:273(__init__)
      613    0.019    0.000    0.166    0.000 func_graph.py:209(__init__)
     9690    0.019    0.000    0.019    0.000 {built-in method tensorflow.python.util._pywrap_utils.FlattenForData}
     8118    0.019    0.000    0.022    0.000 <frozen importlib._bootstrap>:100(acquire)
     2670    0.019    0.000    0.019    0.000 conversion.py:37(<genexpr>)
     8118    0.019    0.000    0.029    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
    23432    0.018    0.000    0.028    0.000 nest.py:261(_yield_sorted_items)
     1282    0.018    0.000    0.403    0.000 function_context.py:125(make_cache_key)
     8938    0.018    0.000    0.049    0.000 ops.py:6721(name_scope)
73273/73272    0.018    0.000    0.025    0.000 {built-in method builtins.setattr}
     8790    0.018    0.000    0.067    0.000 ops.py:2440(_add_control_inputs)
       12    0.018    0.001    1.381    0.115 gradients_util.py:468(_GradientsHelper)
      616    0.018    0.000    0.018    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_FunctionToFunctionDef}
    10750    0.018    0.000    0.018    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_UID}
     4618    0.018    0.000    0.018    0.000 op_def_library.py:699(_ExtractRemainingAttrs)
      330    0.018    0.000    0.018    0.000 {method 'copy' of 'numpy.ndarray' objects}
     3399    0.018    0.000    0.089    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      957    0.017    0.000    0.019    0.000 {method 'sub' of 're.Pattern' objects}
    16868    0.017    0.000    0.045    0.000 auto_control_deps.py:645(update)
       78    0.017    0.000    0.018    0.000 {built-in method io.open}
     7156    0.017    0.000    0.178    0.000 ops.py:6792(__enter__)
     4238    0.017    0.000    0.017    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_GraphGetTensorShapeHelper}
      528    0.017    0.000    6.445    0.012 structured_function.py:80(__init__)
  3396/14    0.017    0.000    2.990    0.214 <frozen importlib._bootstrap>:664(_load_unlocked)
     1128    0.017    0.000    0.142    0.000 function_spec.py:148(__init__)
     1198    0.017    0.000    0.662    0.001 func_graph.py:1506(_get_defun_input)
      398    0.017    0.000    0.039    0.000 __init__.py:328(namedtuple)
     8844    0.017    0.000    0.048    0.000 op_callbacks.py:114(should_invoke_op_callbacks)
     8856    0.017    0.000    0.042    0.000 ops.py:2187(_control_flow_post_processing)
     1282    0.017    0.000    0.041    0.000 function_context.py:42(make_function_context)
13892/2713    0.017    0.000    2.467    0.001 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      148    0.017    0.000    0.479    0.003 group.py:348(__getitem__)
5748/5534    0.017    0.000    0.050    0.000 nest.py:612(_packed_nest_with_indices)
      566    0.016    0.000    0.299    0.001 monomorphic_function.py:456(__init__)
